Франкенштейн, или Современный Прометей;Мэри Шелли;9
Имя розы;Умберто Эко;0
Мир Софии;Йостейн Гордер;4
Девочка-находка;Жаклин Уилсон;9
Бесподобный мистер Фокс;Роальд Даль;0
Лолита;Владимир Набоков;4
Чайка по имени Джонатан Ливингстон;Ричард Бах;0
Маленький принц;Антуан де Сент-Экзюпери;9
Ребенок из чемодана;Жаклин Уилсон;0
Приключения Оливера Твиста;Чарльз Диккенс;9
Сила единства;Брюс Куртеней;0
Сайлес Марнер;Джордж Элиот;0
Американский псих;Брет Истон Эллис;3
Ничей дневник;Джордж и Уидон Гроссмит;0
На игле;Ирвин Уэлш;2
Ужастики;Роберт Лоуренс Стайн;3
Хайди;Джоанна Спайри;9
Сыновья и любовники;Дэвид Герберт Лоуренс;4
Невыносимая легкость бытия;Милан Кундера;0
Мужчина и мальчик;Тони Парсонс;4
Правда;Терри Пратчетт;0
Война миров;Герберт Уэллс;8
Заклинатель лошадей;Николас Эванс;0
Отличный баланс;Рохинтон Мистри;0
Ведьмы за границей;Терри Пратчетт;0
Король былого и грядущего;Теренс Уайт;0
Очень голодная гусеница;Эрик Карл;0
Цветы на чердаке;Вирджиния Эндрюс;3
